time,open,high,low,close,volume
2023-12-12,15.76,15.79,15.65,15.79,3230408
2023-12-13,15.79,15.83,15.65,15.65,3933379
2023-12-14,15.72,15.97,15.65,15.79,6949441
2023-12-15,15.86,16.04,15.83,15.97,6195129
2023-12-18,15.93,16.0,15.9,16.0,6390775
2023-12-19,16.0,16.21,16.0,16.18,11476459
2023-12-20,16.18,16.32,16.18,16.28,8865596
2023-12-21,16.28,16.32,16.18,16.32,7087055
2023-12-22,16.28,16.35,16.28,16.28,4512456
2023-12-25,16.32,16.46,16.28,16.39,7586810
2023-12-26,16.42,16.42,16.32,16.32,5731233
2023-12-27,16.28,16.42,16.28,16.35,4869398
2023-12-28,16.35,16.81,16.35,16.67,10526964
2023-12-29,16.77,16.91,16.7,16.77,9202991
2024-01-02,16.81,17.37,16.81,17.16,13896933
2024-01-03,17.19,17.55,17.02,17.55,9817807
2024-01-04,17.69,18.0,17.62,17.76,23605373
2024-01-05,17.76,17.86,17.58,17.86,9282598
2024-01-08,18.04,18.07,17.69,17.79,12398885
2024-01-09,17.72,17.79,17.51,17.55,15455964
2024-01-10,17.69,17.9,17.55,17.72,17610661
2024-01-11,17.83,18.07,17.65,17.72,9941849
2024-01-12,17.65,18.39,17.58,18.11,25574880
2024-01-15,18.25,18.25,17.76,17.76,11725544
2024-01-16,17.83,17.93,17.58,17.83,12385822
2024-01-17,17.86,18.11,17.79,17.83,9720759
2024-01-18,17.86,18.07,17.79,17.97,9616784
2024-01-19,18.11,18.21,18.0,18.21,12778025
2024-01-22,18.39,18.46,18.11,18.46,12010820
2024-01-23,18.42,18.56,18.28,18.28,11738886
2024-01-24,18.28,18.32,18.04,18.11,11347376
2024-01-25,18.14,18.18,17.97,18.11,5090360
2024-01-26,18.14,18.53,18.14,18.46,6861782
2024-01-29,18.6,18.6,18.21,18.21,9281301
2024-01-30,18.28,18.39,18.18,18.21,6383741
2024-01-31,18.32,18.32,17.93,18.07,12162755
2024-02-01,18.04,18.32,18.04,18.25,6284328
2024-02-02,18.21,18.46,18.14,18.42,14534871
2024-02-05,18.42,19.65,18.35,19.51,28138723
2024-02-06,19.55,19.58,19.41,19.55,5454327
2024-02-07,19.55,19.79,19.55,19.65,11903453
2024-02-15,19.69,19.93,19.09,19.09,14255094
2024-02-16,19.3,19.37,19.16,19.37,9502568
2024-02-19,19.44,19.44,19.09,19.44,11864502
2024-02-20,19.3,19.48,19.19,19.34,7321603
2024-02-21,19.3,19.58,19.23,19.44,10257725
2024-02-22,19.44,19.48,19.3,19.41,7407861
2024-02-23,19.44,19.93,19.16,19.16,25987605
2024-02-26,19.16,19.44,19.02,19.3,9791428
2024-02-27,19.44,19.44,19.19,19.37,12061563
2024-02-28,19.41,19.65,19.34,19.65,10465608
2024-02-29,19.72,19.83,19.44,19.65,9960379
2024-03-01,19.65,19.65,19.34,19.51,10201609
2024-03-04,19.51,19.79,19.23,19.51,13224034
2024-03-05,19.51,19.65,19.34,19.62,6339771
2024-03-06,19.65,19.76,19.34,19.37,9799350
2024-03-07,19.37,19.44,19.23,19.3,10171157
2024-03-08,19.3,19.41,18.95,18.98,23024715
2024-03-11,18.98,19.02,18.7,18.77,12023089
2024-03-12,18.7,18.84,18.67,18.77,8318885
2024-03-13,18.77,19.41,18.77,19.41,8940425
2024-03-14,19.37,19.37,18.98,19.12,8232737
2024-03-15,19.12,19.23,18.95,19.19,7828640
2024-03-18,19.09,19.19,18.74,18.88,14127772
2024-03-19,18.81,18.98,18.77,18.84,7125247
2024-03-20,18.84,19.44,18.81,19.3,14010312
2024-03-21,19.44,19.65,19.34,19.65,12824070
2024-03-22,19.83,20.32,19.58,19.76,22688584
2024-03-25,19.69,19.69,19.3,19.3,10196791
2024-03-26,19.37,19.62,19.19,19.62,6287467
2024-03-27,19.62,19.69,19.37,19.65,5962845
2024-03-28,19.86,20.07,19.79,19.9,12429800
2024-03-29,19.93,20.11,19.76,20.0,13496333
2024-04-01,19.79,20.0,19.72,19.97,6180472
2024-04-02,19.86,19.93,19.58,19.93,10414778
